Genesis_1_20_74600_81800|tin hungh ziouc zeix cuotv wuov nyungc ga naaiv daaih bun nqoi wuom
Genesis_1_21_81800_86320|maaih deix yiem wuov nyungc ga naaiv gu nguaaic
Genesis_1_22_86320_89600|maaih deix yiem ga ndiev
Genesis_1_23_89600_92640|ziouc za gengh hnangv naaic
Genesis_1_24_92640_95560|wuov nyungc ga naaiv tin hungh heuc
Genesis_1_25_95560_96960|lungh
Genesis_1_26_96960_100520|maaih lungh hmuangx yaac maaih lungh ndorm
Genesis_1_27_100520_101960|naaiv se da nyeic hnoi
Genesis_1_28_101960_105160|tin hungh aengx gorngv
Genesis_1_29_105160_114120|lungh ndiev nyei wuom oix zuqc gapv jienv yiem zunv yietc norm dorngx bun ndau cuotv daaih
Genesis_1_30_114120_117240|ziouc za gengh hnangv naaic
Genesis_1_60_241280_244160|bun nqoi njang caux hmuangx
Genesis_1_61_244160_249320|tin hungh buatc se longx nyei
Genesis_1_62_249320_252240|maaih lungh hmuangx yaac maaih lungh ndorm
Genesis_1_63_252240_253840|naaiv se da feix hnoi
Genesis_1_64_253840_256960|tin hungh aengx gorngv
Genesis_1_65_256960_265200|wuom gu nyuoz oix zuqc cuotv maaih maengc nyei ga naaiv hiaangx daaih buangv wuom ndiev
Genesis_1_66_265200_272760|yaac oix zuqc maaih norqc yiem ndaamv lungh ndaix mingh ndaix daaih ndau beih gu nguaaic
Genesis_1_67_272760_284640|tin hungh ziouc zeix cuotv yiem koiv hlo haic nyei domh mbiauz caux nyungc nyungc yiem wuom maaih maengc nyei
Genesis_1_68_284640_286200|haih dongz nyei
Genesis_1_69_286200_290080|yietc guanh yietc guanh nyei ga naaiv
Genesis_1_70_290080_294240|yietc nyungc maaih yietc nyungc nyei buonv
Genesis_1_71_294240_297720|ninh yaac zeix cuotv nyungc nyungc norqc
Genesis_1_72_297720_300520|yietc nyungc maaih yietc nyungc nyei buonv
Genesis_1_73_300520_304520|tin hungh buatc se longx nyei
Genesis_1_74_304520_311920|tin hungh buang waac bun naaiv deix yietc zungv ga naaiv
Genesis_1_75_311920_313760|ninh gorngv
Genesis_1_76_313760_316400|oix zuqc hiaangx daaih buangv koiv
Genesis_1_77_316400_318920|norqc yaac oix zuqc hiaangx daaih yiem lungh ndiev
Genesis_1_78_318920_322640|maaih lungh hmuangx yaac maaih lungh ndorm
Genesis_1_79_322640_325520|naaiv se da hmz hnoi
Genesis_1_80_325520_329000|tin hungh aengx gorngv
Genesis_1_81_329000_332600|ndau beih oix zuqc cuotv nyungc nyungc maaih maengc nyei ga naaiv
Genesis_1_82_332600_334720|saeng kuv
Genesis_1_83_334720_338600|hieh zoih caux nyungc nyungc nyorng ndau nyei ga naaiv
Genesis_1_84_338600_341680|yietc nyungc maaih yietc nyungc nyei buonv
Genesis_1_85_341680_343480|ziouc za gengh maaih aqv
